"","site_code","plot","block","nutyr","year.x","Treatment","after_n_treatment_yrs","pct_C_post","pct_N_post","ppm_P_post","ppm_K_post","ppm_Ca_post","ppm_Mg_post","ppm_S_post","ppm_Na_post","ppm_Zn_post","ppm_Mn_post","ppm_Fe_post","ppm_Cu_post","ppm_B_post","OrganicMatter_post","pH_post","pct_C_rerun_01","pct_C_rerun","pct_N_rerun_01","pct_N_rerun","pH_add_01","pH_add","pct_C_num","pct_N_num","ppm_P_num","ppm_K_num","ppm_Ca_num","ppm_Mg_num","ppm_S_num","ppm_Na_num","ppm_Zn_num","ppm_Mn_num","ppm_Fe_num","ppm_Cu_num","ppm_B_num","OrganicMatter_num","pH_num","pct_C_numu","pct_N_numu","pct_C_smith","pct_N_smith","pH_smith","year.y","site_name","continent","country","region","managed","burned","grazed","anthropogenic","habitat","elevation","latitude","longitude","RAIN_PET","MAT","MAT_RANGE","ISO","TEMP_VAR","MAX_TEMP","MIN_TEMP","ANN_TEMP_RANGE","TEMP_WET_Q","TEMP_DRY_Q","TEMP_WARM_Q","TEMP_COLD_Q","MAP","MAP_WET_M","MAP_DRY_M","MAP_VAR","MAP_WET_Q","MAP_DRY_Q","MAP_WARM_Q","MAP_COLD_Q","AI","PET","N_Dep","experiment_type","N","P","K","Exclose","trt.x","first_nutrient_year","first_fenced_year","year_trt","sum_INT_cover","sum_NAT_cover","sum_UNK_cover","total_cover","INT_rich","NAT_rich","UNK_rich","rich","site_year_rich","site_richness","site_native_richness","site_introduced_richness","plot_beta","dead_mass","live_mass","total_mass","unsorted_mass","proportion_par","Ambient_PAR","Ground_PAR","pct_C_pre","pct_N_pre","ppm_P_pre","ppm_K_pre","ppm_Ca_pre","ppm_Mg_pre","ppm_S_pre","ppm_Na_pre","ppm_Zn_pre","ppm_Mn_pre","ppm_Fe_pre","ppm_Cu_pre","ppm_B_pre","pH_pre","PercentSand.raw","PercentSilt.raw","PercentClay.raw","Classification","rich.vegan","shan","simpson","even","PercentSand.mean","PercentSilt.mean","PercentClay.mean","siteblock","PercentSiltClay","Sample_ID","trt.y","Rootsgperm2","percroots","totalbiomass","Light","gramminoidfraction","perennialfraction","lnroots","bulk_den","bulk_den_cm2","blockU","mgC_gsoil_post","mgC_cm3_post","soil_gCm2","controlsoilC","soil_gCm2_ln","mgC_cm3_post_ln","live_mass_ln"
"375","lancaster.uk",6,1,2011,2011,"N",3,"23.065","1.346","62","196","1955","141","58","48","13.5","74","584","2.1","0.4","37.9","5.2",0,NA,0,NA,0,NA,23.065,1.346,62,196,1955,141,58,48,13.5,74,584,2.1,0.4,37.9,5.2,23.065,1.346,NA,NA,NA,2011,"Lancaster","Europe","UK","Europe",1,0,1,0,"MESIC GRASSLAND",180,53.98562471,-2.628417566,723,8,6.9,0.35,45.42,18.5,-0.7,19.2,3.3,10,13.9,2.3,1322,153,76,23,430,242,287,378,2.2003,599,12.9586,"Experimental (Full Factorial)","1","0","0","0","N",2009,2009,3,0,100,0,100,0,9,0,9,19,30,28,0,3.3333,NA,225.25,225.25,NA,0.53220763,159.9,85.1,22.102,1.168,25,100,1569,92,36,32,4.8,53,405,1.8,0.4,4.9,NA,NA,NA,NA,9,1.558740292,2.988643156,0.709413279,50.55,30.05,19.3,"lancaster.uk.1",49.45,366,"N",240.2080348,0.516068081,465.4580348,0.798113088,0.759666919,0.958360399,5.481505359,0.261517697204082,2.61517697204082,"lancaster.uk.1",230.65,60.3190568601214,6031.90568601215,4810.7528913752,8.70481827395749,4.0996480879694,5.41721089648845
"376","lancaster.uk",16,2,2011,2011,"NP",3,"14.497","0.814","88","154","1029","112","44","36","30.6","81","567","2.9","0.4","23.6","4.3",0,NA,0,NA,0,NA,14.497,0.814,88,154,1029,112,44,36,30.6,81,567,2.9,0.4,23.6,4.3,14.497,0.814,NA,NA,NA,2011,"Lancaster","Europe","UK","Europe",1,0,1,0,"MESIC GRASSLAND",180,53.98562471,-2.628417566,723,8,6.9,0.35,45.42,18.5,-0.7,19.2,3.3,10,13.9,2.3,1322,153,76,23,430,242,287,378,2.2003,599,12.9586,"Experimental (Full Factorial)","1","1","0","0","NP",2009,2009,3,0,143,0,143,0,12,0,12,19,30,28,0,2.5,NA,324.3,324.3,NA,0.661336379,175.1,115.8,20.546,1.167,35,115,971,128,41,40,5.8,63,427,2.1,0.4,4.5,NA,NA,NA,NA,12,1.544279486,2.612903226,0.621463783,50.55,30.05,19.3,"lancaster.uk.2",49.45,376,"NP",954.4680768,0.746396547,1278.768077,0.798113088,0.759666919,0.958360399,6.861154198,0.410039591836735,4.10039591836735,"lancaster.uk.2",144.97,59.4434396285714,5944.34396285714,4810.7528913752,8.69019545196042,4.08502526597233,5.78166901331327
"380","lancaster.uk",20,3,2011,2011,"N",3,"16.424","0.981","63","100","873","82","43","35","8.1","70","534","2.8","0.2","27.4","4.9",0,NA,0,NA,0,NA,16.424,0.981,63,100,873,82,43,35,8.1,70,534,2.8,0.2,27.4,4.9,16.424,0.981,NA,NA,NA,2011,"Lancaster","Europe","UK","Europe",1,0,1,0,"MESIC GRASSLAND",180,53.98562471,-2.628417566,723,8,6.9,0.35,45.42,18.5,-0.7,19.2,3.3,10,13.9,2.3,1322,153,76,23,430,242,287,378,2.2003,599,12.9586,"Experimental (Full Factorial)","1","0","0","0","N",2009,2009,3,0,113,0,113,0,9,0,9,19,30,28,0,3.3333,NA,182,182,NA,0.802463504,219.2,175.9,20.899,1.173,45,135,1036,116,42,48,7,88,464,2.5,0.4,4.6,NA,NA,NA,NA,9,1.413599925,2.942843973,0.643357051,49.4,33.2,17.3,"lancaster.uk.3",50.6,380,"N",1098.368204,0.85785339,1280.368204,0.798113088,0.759666919,0.958360399,7.001580906,0.370327326530612,3.70327326530612,"lancaster.uk.3",164.24,60.8225601093878,6082.25601093878,4810.7528913752,8.71313096056726,4.10796077457917,5.2040066870768
"381","lancaster.uk",21,3,2011,2011,"Control",3,"20.067","1.1","78","112","1516","128","45","42","10.3","68","463","3.4","0.3","33.3","4.8",0,NA,0,NA,0,NA,20.067,1.1,78,112,1516,128,45,42,10.3,68,463,3.4,0.3,33.3,4.8,20.067,1.1,NA,NA,NA,2011,"Lancaster","Europe","UK","Europe",1,0,1,0,"MESIC GRASSLAND",180,53.98562471,-2.628417566,723,8,6.9,0.35,45.42,18.5,-0.7,19.2,3.3,10,13.9,2.3,1322,153,76,23,430,242,287,378,2.2003,599,12.9586,"Experimental (Full Factorial)","0","0","0","0","Control",2009,2009,3,0,102,0,102,0,10,0,10,19,30,28,0,3,NA,98.15,98.15,NA,0.905591201,218.2,197.6,21.537,1.133,57,83,2077,161,51,51,6.6,61,379,3,0.4,5.1,49.4,33.2,17.3,"Loam",10,1.584817755,3.375730045,0.688277606,49.4,33.2,17.3,"lancaster.uk.3",50.6,381,"Control",652.2117125,0.869196418,750.3617125,0.798113088,0.759666919,0.958360399,6.480369222,0.19281372244898,1.9281372244898,"lancaster.uk.3",200.67,38.6919296838367,3869.19296838367,4810.7528913752,8.26080122897594,3.65563104298785,4.58649692072247
"382","lancaster.uk",22,3,2011,2011,"P",3,"20.251","1.137","87","127","1514","136","44","45","12.7","62","569","2.5","0.3","31.2","4.6",0,NA,0,NA,0,NA,20.251,1.137,87,127,1514,136,44,45,12.7,62,569,2.5,0.3,31.2,4.6,20.251,1.137,NA,NA,NA,2011,"Lancaster","Europe","UK","Europe",1,0,1,0,"MESIC GRASSLAND",180,53.98562471,-2.628417566,723,8,6.9,0.35,45.42,18.5,-0.7,19.2,3.3,10,13.9,2.3,1322,153,76,23,430,242,287,378,2.2003,599,12.9586,"Experimental (Full Factorial)","0","1","0","0","P",2009,2009,3,0,112,0,112,0,9,0,9,19,30,28,0,3.3333,NA,249.6,249.6,NA,0.578890098,183.8,106.4,20.1,1.088,31,86,1434,129,32,49,4.3,42,314,2,0.4,5,NA,NA,NA,NA,9,1.435431951,2.873110399,0.653293234,49.4,33.2,17.3,"lancaster.uk.3",50.6,382,"P",320.1317415,0.56189908,569.7317415,0.798113088,0.759666919,0.958360399,5.768732603,0.236149714285714,2.36149714285714,"lancaster.uk.3",202.51,47.82267864,4782.267864,4810.7528913752,8.47267016150595,3.86749997551786,5.51985963649527
"383","lancaster.uk",23,3,2011,2011,"NP",3,"13.621","0.826","147","200","1650","126","49","42","18.7","111","595","6.2","0.4","22.6","4.8",0,NA,0,NA,0,NA,13.621,0.826,147,200,1650,126,49,42,18.7,111,595,6.2,0.4,22.6,4.8,13.621,0.826,NA,NA,NA,2011,"Lancaster","Europe","UK","Europe",1,0,1,0,"MESIC GRASSLAND",180,53.98562471,-2.628417566,723,8,6.9,0.35,45.42,18.5,-0.7,19.2,3.3,10,13.9,2.3,1322,153,76,23,430,242,287,378,2.2003,599,12.9586,"Experimental (Full Factorial)","1","1","0","0","NP",2009,2009,3,0,116,0,116,0,13,0,13,19,30,28,0,2.3077,NA,285.45,285.45,NA,0.715973292,194.7,139.4,19.899,1.045,34,142,1361,108,40,44,6.3,109,512,1.4,0.4,4.9,NA,NA,NA,NA,13,1.711565964,3.509650496,0.667290354,49.4,33.2,17.3,"lancaster.uk.3",50.6,383,"NP",401.1721957,0.584269192,686.6221957,0.798113088,0.759666919,0.958360399,5.994390751,0.239395812244898,2.39395812244898,"lancaster.uk.3",136.21,32.6081035858776,3260.81035858776,4810.7528913752,8.08973101972471,3.48456083373662,5.65406688241027
"388","lancaster.uk",14,2,2011,2011,"Control",3,"22.769","1.237","56","214","1432","120","41","39","7.5","72","587","2.6","0.3","35.9","4.6",0,NA,0,NA,0,NA,22.769,1.237,56,214,1432,120,41,39,7.5,72,587,2.6,0.3,35.9,4.6,22.769,1.237,NA,NA,NA,2011,"Lancaster","Europe","UK","Europe",1,0,1,0,"MESIC GRASSLAND",180,53.98562471,-2.628417566,723,8,6.9,0.35,45.42,18.5,-0.7,19.2,3.3,10,13.9,2.3,1322,153,76,23,430,242,287,378,2.2003,599,12.9586,"Experimental (Full Factorial)","0","0","0","0","Control",2009,2009,3,0,105,0,105,0,11,0,11,19,30,28,0,2.7273,NA,178.55,178.55,NA,0.061269147,137.1,8.4,28.247,1.366,33,163,2066,127,51,46,6.5,37,446,2.7,0.4,4.8,NA,NA,NA,NA,11,1.532644884,2.807486631,0.639162561,50.55,30.05,19.3,"lancaster.uk.2",49.45,NA,NA,582.736417859565,0.685509946869565,796.977722234783,0.798113088,0.759666919,0.958360399,6.36773497066796,0.165162122,1.651621224,"lancaster.uk.2",227.69,37.60576355818,3760.5763649256,4810.7528913752,8.2323275131805,3.62715732477054,5.18486867404046
"389","lancaster.uk",15,2,2011,2011,"P",3,"16.17","0.974","199","155","1247","109","57","36","9.1","71","597","2.8","0.4","27.6","5",0,NA,0,NA,0,NA,16.17,0.974,199,155,1247,109,57,36,9.1,71,597,2.8,0.4,27.6,5,16.17,0.974,NA,NA,NA,2011,"Lancaster","Europe","UK","Europe",1,0,1,0,"MESIC GRASSLAND",180,53.98562471,-2.628417566,723,8,6.9,0.35,45.42,18.5,-0.7,19.2,3.3,10,13.9,2.3,1322,153,76,23,430,242,287,378,2.2003,599,12.9586,"Experimental (Full Factorial)","0","1","0","0","P",2009,2009,3,0,106,0,106,0,10,0,10,19,30,28,0,3,NA,277.8,277.8,NA,0.853051643,213,181.7,9.053,0.572,25,115,1197,139,37,38,4.7,57,463,2.3,0.4,4.6,NA,NA,NA,NA,10,1.680479261,4.007132668,0.72982287,50.55,30.05,19.3,"lancaster.uk.2",49.45,375,"P",453.7657783,0.620266546,731.5657783,0.798113088,0.759666919,0.958360399,6.117581158,0.127091351020408,1.27091351020408,"lancaster.uk.2",161.7,20.55067146,2055.067146,4810.7528913752,7.62806380084909,3.022893614861,5.62690143032024
"391","lancaster.uk",7,1,2011,2011,"NP",3,"23.787","1.325","74","138","1532","116","38","37","6.8","64","578","1.4","0.3","38.3","4.7",0,NA,0,NA,0,NA,23.787,1.325,74,138,1532,116,38,37,6.8,64,578,1.4,0.3,38.3,4.7,23.787,1.325,NA,NA,NA,2011,"Lancaster","Europe","UK","Europe",1,0,1,0,"MESIC GRASSLAND",180,53.98562471,-2.628417566,723,8,6.9,0.35,45.42,18.5,-0.7,19.2,3.3,10,13.9,2.3,1322,153,76,23,430,242,287,378,2.2003,599,12.9586,"Experimental (Full Factorial)","1","1","0","0","NP",2009,2009,3,0,105,0,105,0,9,0,9,19,30,28,0,3.3333,NA,189.3,189.3,NA,0.940232429,180.7,169.9,23.057,1.242,27,109,1446,102,41,41,3.9,67,458,2.1,0.4,4.7,NA,NA,NA,NA,9,1.290853541,2.165586329,0.587492764,50.55,30.05,19.3,"lancaster.uk.1",49.45,367,"NP",375.5843712,0.66488717,564.8843712,0.798113088,0.759666919,0.958360399,5.928483136,0.20508293877551,2.0508293877551,"lancaster.uk.1",237.87,48.7830786465306,4878.30786465306,4810.7528913752,8.49255368966934,3.88738350368125,5.24333305821528
"392","lancaster.uk",8,1,2011,2011,"P",3,"19.018","1.108","203","115","1943","135","39","54","16.5","72","537","3.5","0.4","29.6","4.8",0,NA,0,NA,0,NA,19.018,1.108,203,115,1943,135,39,54,16.5,72,537,3.5,0.4,29.6,4.8,19.018,1.108,NA,NA,NA,2011,"Lancaster","Europe","UK","Europe",1,0,1,0,"MESIC GRASSLAND",180,53.98562471,-2.628417566,723,8,6.9,0.35,45.42,18.5,-0.7,19.2,3.3,10,13.9,2.3,1322,153,76,23,430,242,287,378,2.2003,599,12.9586,"Experimental (Full Factorial)","0","1","0","0","P",2009,2009,3,0,107,0,107,0,9,0,9,19,30,28,0,3.3333,NA,306.6,306.6,NA,0.739448509,177.7,131.4,23.925,1.321,38,102,2210,114,47,48,4.4,54,379,2.5,0.5,5,NA,NA,NA,NA,9,1.774348447,4.254552211,0.807540779,50.55,30.05,19.3,"lancaster.uk.1",49.45,368,"P",375.8255162,0.550720199,682.4255162,0.798113088,0.759666919,0.958360399,5.929124983,0.263437714285714,2.63437714285714,"lancaster.uk.1",190.18,50.1005845028571,5010.05845028571,4810.7528913752,8.51920286073455,3.91403267474646,5.72554396643771
